User ID,Top k Items
0,"[ 5003  7934  3762  2275  4617  3356  1042 12206 16468 14656 14885  7353
  2432 11648  4108  1648 16610  4856  2445  7185]"
1,"[11648 13643  4232  6262  9595  6124 10572  7592  8078  2720   443  4177
  9696 11601 13572 14794 15982   823 17628  7017]"
2,"[ 1002  6028 13304  5083 17668  4678  8019 14850 17094 10218 10403   277
 16480 17238  1597  7244  5093  7683  5069 11381]"
3,"[ 3145 11688  2465  8957  6054 14496 17734 14402   398  5011  3676  7763
 16179 12339 11073 11267   312 16633  5260 15373]"
4,"[ 3631 10633  8648  8400  2972  4184 15995  2144  6724 10403 12269 12983
 12576 12321   344 12481  5187   849 17374  9175]"
5,"[13257 15010 12227  2598 15479 11375  1522 17166 14449  3498 15318  3643
 14638 16253 12879  1653  5104 17270 11096 17518]"
6,"[11119 11277 14449 10788   609 14794  3737  6971    15 11948  3707  5912
  4218 13304  1989  6174 14761 13728  5214  9170]"
7,"[ 6213  4037  3438 10015  4285 16241 15622 11497  8086  9260  5692  2119
  8869 14542 15613 13783  7665  7932 13125 13539]"
8,"[ 2340 11140 12269  3411 10685  7808 11168 13260  7343  1882  9357  4561
  4856 13551  4641  7103 16610 15352  8878 14281]"
9,"[ 7582  4437  3228 16385  3984  3766  7716  7200 13270 10334  7343  9306
  9211  3489  4907  5204 14776  5340 14787 14585]"
10,"[16253  6969  5187 12983  5825  8658  4385  2340 12089  9664   828  5725
   233   344  3099  8895  5003 17094 12006 12997]"
11,"[ 2275  5093 16610 16480 10302  8846  1042 16253  5377  2535 15516 13901
  9400  9134  8658  1901 16286 12754  2228  8577]"
12,"[14294  6162  2378  2689  4856  2119  1648  7411 16738 10326  4108  2228
  5156  1329 16426  3548  3291  1568 12759  9311]"
13,"[16879  3909  5094  8159 11143  7472  7255 17613  5328  2445 15172 11474
  2378  9125  4561  1251  1237  2956  7928 17621]"
14,"[10633  2972  8243  8577  4172   432  9118  8215  6556  3762  3470 11435
  8563  3944  5212 12321  9225  1835  4385 12324]"
15,"[ 1210 16427  4437  9421 17609  4519  7374 11704  6227 13034    49  7570
  3489 14828 12883  9592 13090  8944  7477 14787]"
16,"[13304  1521  2956  5083 17734 11354 12865  9999   599  5825  9612  4177
   391 14656 15982 17094  4678   392  3099  1385]"
17,"[ 2445  9723  4177  2591 15396  9311 16879  8491  9017 10326  7934  9440
  9914  3548  7020  4440 12089 17371  6382  5332]"
18,"[ 6431  8637 17485  7965  4519 17609  1796  6227   167  4561 17315  9854
  2103 10685 10050 14780 13551  9607 16050 10799]"
19,"[16960 16427  6673  3704  4437  5204 15754 13270  1204 10393 11658  4423
  4184 13034     3  3240  2580 10751  1575  6969]"
